en,es_la,Pt_br,ru,tk,zh_tw,zh
,Una nueva pasarela de pago para las comunidades creadas para la interacción.,Um novo gateway de pagamento para comunidades criadas para o engajamento.,"Новая система оплаты для сообществ, созданная для взаимодействия.",Katılım için oluşturulmuş topluluklar için yeni bir ödeme ağ geçidi.,,一个专为社群组织互动而打造的支付网关。
,Registro,Login,Войти,Oturum aç,,登陆
,Soporte,Suporte,Поддержка,Destek,,服务支持
,¿Por qué Glue Up? ,Por que Glue Up?,Почему Glue Up?,Neden Glue Up?,,为什么选择 Glue Up？
,Quédate conectado mientras continúas,Mantenha-se engajado em qualquer lugar,Взаимодействуйте отовсюду,Hareket halindeyken bağlı kalın,,随时随地，高效互动
,Administra tus operaciones al momento,Gerencie suas operações de qualquer lugar,Управляйте своими операциями на ходу,Hareket halindeyken operasyonlarınızı yönetin,,随时随地管理您的各项运营工作，轻松掌握实时数据更新
,Productos,Produtos,Продукты,Ürünler,,产品解决方案
,Soluciones Todo-en-Uno,Soluções All-in-One,Универсальные решения,Hepsi Bir Arada Çözümler,,一体化解决方案
,Mejora e impulsa tu comunidad,Aprimore e impulsione sua comunidade,Обогащайте и развивайте свое сообщество,Topluluğunuzu geliştirin ve güçlendirin,,增强社群互动，提升社群规模
,Suite de gestión educativa,Suite de Gerenciamento de Treinamento ,Управление обучающими программами,Eğitim Yönetim Paketi,,培训管理云解决方案
, características adicionales,Recursos adicionais,Дополнительные функции,Ek Özellikler,,新增功能
,Solución de sitio web,Solução de Website,Веб-сайт,Web Sitesi Çözümü,,品牌网站解决方案
,White Labeling,White Labeling,Производство немарочных продуктов,Beyaz Etiketleme,,可为您实现 App Logo 定制化
,Para tu Industria,Para sua Indústria,Для вашей отрасли, Sektörünüz için,,您所在的行业
,Asociaciones,Associações,Ассоциации,Dernekler,,协会
,Cámaras de comercio,Câmaras de comércio,Торговые палаты,Ticaret Odaları,,商会
,Organizadores de conferencias,Organizadores de Conferência,Организаторы конференции,Konferans Organizatörleri,,大会组织者
,Corporaciones,Corporações,Корпорации,Şirketler,,企业
,Sin fines de lucro,ONGs,Некоммерческие организации,Kar Amaçlı Olmayan,,非营利组织
,Servicios financieros ,Serviços Financeiros,Финансовые услуги,Finansal hizmetler,,金融服务提供商
,Empresas de consultoría,Empresas de consultoria,Консультационные фирмы,Danışmanlık Firmaları,,咨询公司
,Entrenamiento & desarrollo,Treinamento e Desenvolvimento,Обучение и развитие,Eğitim ve Geliştirme,,培训开发公司
,Precios,Preços,Цены,Fiyatlama,,定价
,Acerca de,Sobre,О компании,Hakkında,,关于我们
,Recursos,Recursos,Ресурсы,Kaynaklar,,资源
,Blog,Blog,Блог,Blog,,博客
,"Artículos sobre administración de eventos, interacción, comunidades, asociaciones y cámaras de comercio.","Artigos sobre gerenciamento de eventos, engajamento, comunidades, associações e câmaras de comércio.","Статьи по организации мероприятий, вовлечению, сообществам, ассоциациям и торговым палатам.","Etkinlik yönetimi, katılım, topluluklar, dernekler ve ticaret odaları ile ilgili makaleler.",,关于活动管理、社群互动、协会、商会等主题的文章。
,Socios,Parceiros,Партнеры, Ortaklar,,合作伙伴
,Casos de estudio,Estudos de caso,Тематические исследования,Durum çalışmaları,,案例分析
,Academia ,Academia,Академия,Akademi,,Glue Up 营销科技学院
,Por Industria,Por Indústria,По отраслям промышленности,Sektör başına,,您所在的行业
,Solicita una demo,Request a Demo,Запросить демо,Demo talep edin,,申请线上产品演示
,Whitepapers,Artigos,Белая Книга,Beyaz kağıtlar,,白皮书
,Legal,Legal,Юридические документы,Yasal,,法律文件
,Términos & condiciones,Termos e Condições,Условия использования,Şartlar ve Koşullar,,条款 & 条件
,Términos & condiciones para usuarios,Termos e Condições para Usuários,Условия использования для пользователей,Kullanıcılar için Şartlar ve Koşullar,,用户条款与条件
,Política de privacidad,Política de Privacidade,Политика по защите персональных данных,Gizlilik Politikası,,隐私政策
,Aviso legal,Aviso Legal,Юридическое уведомление,Yasal Uyarı,,法律声明
,GDPR,GDPR,GDPR,GDPR,,GDPR
,Empresa,Empresa,Компания,Şirket,,公司信息
,Cultura,Cultura,Культура,Kültür,,企业文化
,Carreras,Carreiras,Карьеры, Kariyer,,招纳贤士
,Contáctanos ,Contate-Nos,Свяжитесь с нами,Bize Ulaşın,,联系我们
,Facebook,Facebook,Facebook,Facebook,,Facebook
,Twitter,Twitter,Twitter,Twitter,,推特
LinkedIn,LinkedIn,LinkedIn,Linked In,Linked In,,领英
,Elige tu idioma,Escolha seu idioma,Выбрать язык,Dilinizi seçin,,选择您的语言
,Lo más reciente del Blog de Glue Up,Novidades do blog Glue Up,Последние новости из блога Glue Up,Glue Up Blog'dan son haberler,,Glue Up 博客最新资讯
